frame.number,frame.time_relative,ip.src,ip.dst,ip.proto,frame.len
"5518","220.908000000","122.13.172.153","10.8.0.2","17","151"
"5519","220.979000000","10.8.0.2","122.13.172.153","17","103"
"5520","220.983000000","122.13.172.153","10.8.0.2","17","203"
"5521","221.065000000","122.13.172.153","10.8.0.2","17","210"
"5522","221.069000000","10.8.0.2","122.13.172.153","17","118"
"5523","221.141000000","10.8.0.2","122.13.172.153","17","103"
"5524","221.152000000","122.13.172.153","10.8.0.2","17","190"
"5525","221.225000000","10.8.0.2","122.13.172.153","17","113"
"5526","221.229000000","122.13.172.153","10.8.0.2","17","194"
"5527","221.299000000","10.8.0.2","122.13.172.153","17","101"
"5528","221.308000000","122.13.172.153","10.8.0.2","17","201"
"5529","221.387000000","10.8.0.2","122.13.172.153","17","120"
"5530","221.389000000","122.13.172.153","10.8.0.2","17","211"
"5531","221.464000000","10.8.0.2","122.13.172.153","17","113"
"5532","221.468000000","122.13.172.153","10.8.0.2","17","176"
"5533","221.545000000","122.13.172.153","10.8.0.2","17","304"
"5534","221.548000000","10.8.0.2","122.13.172.153","17","125"
"5535","221.621000000","10.8.0.2","122.13.172.153","17","96"
"5536","221.625000000","122.13.172.153","10.8.0.2","17","336"
"5537","221.703000000","10.8.0.2","122.13.172.153","17","113"
"5538","221.704000000","122.13.172.153","10.8.0.2","17","319"
"5539","221.784000000","10.8.0.2","122.13.172.153","17","125"
"5540","221.800000000","122.13.172.153","10.8.0.2","17","330"
"5541","221.859000000","10.8.0.2","122.13.172.153","17","96"
"5542","221.870000000","122.13.172.153","10.8.0.2","17","345"
"5543","221.940000000","10.8.0.2","122.13.172.153","17","113"
"5544","221.948000000","122.13.172.153","10.8.0.2","17","313"
"5545","222.018000000","10.8.0.2","122.13.172.153","17","108"
"5546","222.048000000","122.13.172.153","10.8.0.2","17","286"
"5547","222.103000000","10.8.0.2","122.13.172.153","17","113"
"5548","222.124000000","122.13.172.153","10.8.0.2","17","383"
"5549","222.187000000","122.13.172.153","10.8.0.2","17","301"
"5550","222.188000000","10.8.0.2","122.13.172.153","17","120"
"5551","222.260000000","10.8.0.2","122.13.172.153","17","101"
"5552","222.275000000","122.13.172.153","10.8.0.2","17","335"
"5553","222.281000000","10.8.0.2","122.13.172.153","17","406"
"5554","222.289000000","122.13.172.153","10.8.0.2","17","55"
"5555","222.342000000","10.8.0.2","122.13.172.153","17","113"
"5556","222.343000000","122.13.172.153","10.8.0.2","17","299"
"5557","222.354000000","10.8.0.2","103.97.83.153","6","228"
"5558","222.369000000","103.97.83.153","10.8.0.2","6","116"
"5559","222.371000000","10.8.0.2","103.97.83.153","6","68"
"5560","222.417000000","10.8.0.2","122.13.172.153","17","103"
"5561","222.422000000","122.13.172.153","10.8.0.2","17","328"
"5562","222.493000000","10.8.0.2","122.13.172.153","17","118"
"5563","222.501000000","122.13.172.153","10.8.0.2","17","305"
"5564","222.573000000","10.8.0.2","122.13.172.153","17","113"
"5565","222.577000000","122.13.172.153","10.8.0.2","17","303"
"5566","222.658000000","10.8.0.2","122.13.172.153","17","120"
"5567","222.662000000","122.13.172.153","10.8.0.2","17","370"
"5568","222.739000000","122.13.172.153","10.8.0.2","17","321"
"5569","222.742000000","10.8.0.2","122.13.172.153","17","118"
"5570","222.817000000","10.8.0.2","122.13.172.153","17","103"
"5571","222.822000000","122.13.172.153","10.8.0.2","17","308"
"5572","222.893000000","10.8.0.2","122.13.172.153","17","113"
"5573","222.899000000","122.13.172.153","10.8.0.2","17","313"
"5574","222.982000000","122.13.172.153","10.8.0.2","17","340"
"5575","222.982000000","10.8.0.2","122.13.172.153","17","125"
"5576","223.056000000","122.13.172.153","10.8.0.2","17","305"
"5577","223.060000000","10.8.0.2","122.13.172.153","17","96"
"5578","223.139000000","122.13.172.153","10.8.0.2","17","324"
"5579","223.144000000","10.8.0.2","122.13.172.153","17","120"
"5580","223.215000000","10.8.0.2","122.13.172.153","17","101"
"5581","223.222000000","122.13.172.153","10.8.0.2","17","315"
"5582","223.293000000","10.8.0.2","122.13.172.153","17","113"
"5583","223.297000000","122.13.172.153","10.8.0.2","17","287"
"5584","223.375000000","10.8.0.2","122.13.172.153","17","120"
"5585","223.381000000","122.13.172.153","10.8.0.2","17","360"
"5586","223.459000000","122.13.172.153","10.8.0.2","17","304"
"5587","223.462000000","10.8.0.2","122.13.172.153","17","118"
"5588","223.539000000","10.8.0.2","122.13.172.153","17","103"
"5589","223.540000000","122.13.172.153","10.8.0.2","17","289"
"5590","223.615000000","10.8.0.2","122.13.172.153","17","113"
"5591","223.621000000","122.13.172.153","10.8.0.2","17","286"
"5592","223.700000000","122.13.172.153","10.8.0.2","17","256"
"5593","223.708000000","10.8.0.2","122.13.172.153","17","125"
"5594","223.778000000","10.8.0.2","122.13.172.153","17","96"
"5595","223.786000000","122.13.172.153","10.8.0.2","17","260"
"5596","223.858000000","122.13.172.153","10.8.0.2","17","208"
"5597","223.863000000","10.8.0.2","122.13.172.153","17","113"
"5598","223.933000000","10.8.0.2","122.13.172.153","17","108"
"5599","223.937000000","122.13.172.153","10.8.0.2","17","213"
"5600","224.021000000","122.13.172.153","10.8.0.2","17","219"
"5601","224.028000000","10.8.0.2","122.13.172.153","17","113"
"5602","224.099000000","10.8.0.2","122.13.172.153","17","103"
"5603","224.106000000","122.13.172.153","10.8.0.2","17","213"
"5604","224.184000000","122.13.172.153","10.8.0.2","17","176"
"5605","224.189000000","10.8.0.2","122.13.172.153","17","118"
"5606","224.258000000","10.8.0.2","122.13.172.153","17","96"
"5607","224.261000000","122.13.172.153","10.8.0.2","17","190"
"5608","224.281000000","10.8.0.2","122.13.172.153","17","406"
"5609","224.293000000","122.13.172.153","10.8.0.2","17","55"
"5610","224.339000000","10.8.0.2","122.13.172.153","17","120"
"5611","224.339000000","122.13.172.153","10.8.0.2","17","207"
"5612","224.417000000","10.8.0.2","122.13.172.153","17","101"
"5613","224.421000000","122.13.172.153","10.8.0.2","17","213"
"5614","224.503000000","10.8.0.2","122.13.172.153","17","120"
"5615","224.504000000","122.13.172.153","10.8.0.2","17","353"
"5616","224.580000000","10.8.0.2","122.13.172.153","17","96"
"5617","224.581000000","122.13.172.153","10.8.0.2","17","357"
"5618","224.656000000","10.8.0.2","122.13.172.153","17","118"
"5619","224.658000000","122.13.172.153","10.8.0.2","17","358"
"5620","224.739000000","122.13.172.153","10.8.0.2","17","313"
"5621","224.744000000","10.8.0.2","122.13.172.153","17","120"
"5622","224.819000000","10.8.0.2","122.13.172.153","17","96"
"5623","224.820000000","122.13.172.153","10.8.0.2","17","346"
"5624","224.894000000","10.8.0.2","122.13.172.153","17","118"
"5625","224.904000000","122.13.172.153","10.8.0.2","17","306"
"5626","224.975000000","10.8.0.2","122.13.172.153","17","120"
"5627","224.977000000","122.13.172.153","10.8.0.2","17","357"
"5628","225.062000000","10.8.0.2","122.13.172.153","17","113"
"5629","225.063000000","122.13.172.153","10.8.0.2","17","325"
"5630","225.139000000","122.13.172.153","10.8.0.2","17","270"
"5631","225.148000000","10.8.0.2","122.13.172.153","17","125"
"5632","225.220000000","122.13.172.153","10.8.0.2","17","332"
"5633","225.223000000","10.8.0.2","122.13.172.153","17","96"
